Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Alt Text,SEO Title,SEO Description,Status
stampelklocka-z120,"Seiko Z120 — Registrerande stämpelklocka","<h2>Registrerande stämpelklocka Seiko Z120</h2><p>Seiko Z120 är en registrerande stämpelklocka som visar ankomst- och avgångstider på stämpelkortet. Perfekt för enkel tidregistrering där du bara behöver se när personalen kommer och går.</p><h3>Ingår vid köp</h3><ul><li>100 stämpelkort (Art 1203)</li><li>Färgband</li><li>Manual</li><li>Nycklar</li></ul><h3>Specifikationer</h3><ul><li>Typ: Registrerande</li><li>Kortformat: Standard stämpelkort</li><li>Strömförsörjning: Elnät</li><li>Tillverkare: Seiko</li></ul>",Seiko,Business & Industrial > Time Clocks,Stämpelklockor,"stämpelklocka, stämpelur, tidregistrering, seiko, z120, registrerande",TRUE,Titel,Default,1003,5000,shopify,10,deny,manual,4130,,TRUE,TRUE,,Stämpelklocka Seiko Z120 — registrerande stämpelur,Seiko Z120 stämpelklocka — Registrerande stämpelur med snabb leverans | Ferox Konsult,Köp Seiko Z120 registrerande stämpelklocka. Visar ankomst och avgångstider. Inkl 100 stämpelkort och färgband. Snabb leverans från Ferox Konsult.,active
stampelklocka-k675,"Seiko K675 — Summerande stämpelklocka","<h2>Summerande stämpelklocka Seiko K675</h2><p>Seiko K675 är en summerande stämpelklocka som registrerar tider och automatiskt beräknar arbetade timmar per dag och totalt på kortet. Ideell för företag som vill ha automatisk tidsummering utan datorprogram.</p><h3>Ingår vid köp</h3><ul><li>100 stämpelkort (Art 1232)</li><li>Färgband</li><li>Manual</li><li>Nycklar</li></ul><h3>Specifikationer</h3><ul><li>Typ: Summerande (beräknar arbetade timmar)</li><li>Stämplingar per dag: Upp till 4</li><li>Summering: Per dag + totalt på kortet</li><li>Tillverkare: Seiko</li></ul>",Seiko,Business & Industrial > Time Clocks,Stämpelklockor,"stämpelklocka, stämpelur, tidregistrering, seiko, k675, summerande",TRUE,Titel,Default,1002,5500,shopify,10,deny,manual,4655,,TRUE,TRUE,,Stämpelklocka Seiko K675 — summerande stämpelur,Seiko K675 summerande stämpelklocka — Beräknar arbetade timmar automatiskt | Ferox Konsult,Köp Seiko K675 summerande stämpelklocka. Beräknar arbetade timmar per dag och totalt. Inkl 100 kort och färgband. Fri frakt från Ferox Konsult.,active
kalkylur-tp6,"Seiko TP-6 — Tidregistrerare / Kalkylur","<h2>Seiko TP-6 Tidregistrerare</h2><p>Seiko TP-6 är en tidregistrerare som stämplar tid på valfritt papper — kvitton, dokument, blanketter. Användbar i många branscher för tidsstämpling av handlingar.</p><h3>Ingår vid köp</h3><ul><li>Färgband</li><li>Manual</li></ul><h3>Specifikationer</h3><ul><li>Typ: Tidregistrerare (stämplar på löst papper)</li><li>Pappersformat: Valfritt</li><li>Tillverkare: Seiko</li></ul>",Seiko,Business & Industrial > Time Clocks,Stämpelklockor,"kalkylur, tidregistrerare, seiko, tp-6, stämpelur, tidsstämpling",TRUE,Titel,Default,1020,3000,shopify,10,deny,manual,4180,,TRUE,TRUE,,Seiko TP-6 kalkylur och tidregistrerare,Seiko TP-6 kalkylur — Stämplar tid på valfritt papper | Ferox Konsult,Köp Seiko TP-6 tidregistrerare. Stämplar tid på valfritt papper och dokument. Snabb leverans från Ferox Konsult.,active
stampelkort-z120,"Stämpelkort till Seiko Z120 — 100 st","<p>Originalstämpelkort till Seiko Z120 registrerande stämpelklocka. 100 kort per förpackning.</p><ul><li>Kompatibel med: Seiko Z120</li><li>Antal: 100 st per förpackning</li></ul>",Seiko,Business & Industrial > Time Clock Accessories,Stämpelkort,"stämpelkort, z120, tillbehör, seiko",TRUE,Titel,Default,1203,500,shopify,50,deny,manual,224,,TRUE,TRUE,,Stämpelkort till Seiko Z120,Stämpelkort Z120 — 100 st originalstämpelkort | Ferox Konsult,Köp stämpelkort till Seiko Z120. 100 st per förpackning. Snabb leverans från Ferox Konsult AB.,active
stampelkort-qr350,"Stämpelkort till QR350/QR550/QR395 — 100 st","<p>Originalstämpelkort kompatibla med Seiko QR350, QR550 och QR395 stämpelklockor. 100 kort per förpackning.</p><ul><li>Kompatibel med: QR350, QR550, QR395</li><li>Antal: 100 st per förpackning</li></ul>",Seiko,Business & Industrial > Time Clock Accessories,Stämpelkort,"stämpelkort, qr350, qr550, qr395, tillbehör, seiko",TRUE,Titel,Default,1204,500,shopify,50,deny,manual,207,,TRUE,TRUE,,Stämpelkort QR350/QR550/QR395,Stämpelkort till QR350 QR550 QR395 — 100 st | Ferox Konsult,Köp stämpelkort till Seiko QR350 QR550 och QR395. 100 st per förpackning. Snabb leverans.,active
stampelkort-k675,"Stämpelkort till K675/QR375/QR395/QR475/QR7550 — 100 st","<p>Originalstämpelkort kompatibla med Seiko K675, QR375, QR395, QR475 och QR7550 stämpelklockor. 100 kort per förpackning.</p><ul><li>Kompatibel med: K675, QR375, QR395, QR475, QR7550</li><li>Antal: 100 st per förpackning</li></ul>",Seiko,Business & Industrial > Time Clock Accessories,Stämpelkort,"stämpelkort, k675, qr375, qr395, qr475, qr7550, tillbehör, seiko",TRUE,Titel,Default,1232,500,shopify,50,deny,manual,288,,TRUE,TRUE,,Stämpelkort K675/QR375/QR475/QR7550,Stämpelkort till K675 QR375 QR475 QR7550 — 100 st | Ferox Konsult,Köp stämpelkort till Seiko K675 QR375 QR395 QR475 QR7550. 100 st per förpackning.,active
kortfack,"Kortfack / Cardrack","<p>Kortfack i metall för förvaring av stämpelkort vid stämpelklockan. Håller ordning på personalens stämpelkort.</p><ul><li>Material: Metall</li><li>Passar alla Seiko stämpelkort</li></ul>",Seiko,Business & Industrial > Time Clock Accessories,Tillbehör,"kortfack, cardrack, tillbehör, stämpelklocka",TRUE,Titel,Default,1070,2000,shopify,20,deny,manual,422,,TRUE,TRUE,,Kortfack och cardrack för stämpelkort,Kortfack / Cardrack för stämpelkort — Håll ordning vid stämpelklockan | Ferox Konsult,Köp kortfack i metall för stämpelkort. Passar alla Seiko stämpelklockor. Snabb leverans.,active
fargband-z120,"Färgband till QR375/QR395/TP20/Z120","<p>Originalfärgband kompatibelt med Seiko QR375, QR395, TP20 och Z120 stämpelklockor.</p><ul><li>Kompatibel med: QR375, QR395, TP20, Z120</li></ul>",Seiko,Business & Industrial > Time Clock Accessories,Tillbehör,"färgband, z120, qr375, qr395, tp20, tillbehör, seiko",TRUE,Titel,Default,1250,200,shopify,30,deny,manual,285,,TRUE,TRUE,,Färgband till Z120 QR375 QR395 TP20,Färgband till Seiko Z120 QR375 QR395 TP20 — Originalfärgband | Ferox Konsult,Köp originalfärgband till Seiko Z120 QR375 QR395 och TP20. Snabb leverans från Ferox Konsult.,active
fargband-k675,"Färgband till K600/K675","<p>Originalfärgband kompatibelt med Seiko K600 och K675 summerande stämpelklockor.</p><ul><li>Kompatibel med: K600, K675</li></ul>",Seiko,Business & Industrial > Time Clock Accessories,Tillbehör,"färgband, k600, k675, tillbehör, seiko",TRUE,Titel,Default,1251,200,shopify,0,deny,manual,480,,TRUE,TRUE,,Färgband till Seiko K675 och K600,Färgband till Seiko K600 K675 — Originalfärgband | Ferox Konsult,Köp originalfärgband till Seiko K600 och K675 summerande stämpelklocka. Från Ferox Konsult.,active
fargband-qr120,"Färgband till QR120/QR475/QR550/QR6560","<p>Originalfärgband kompatibelt med Seiko QR120, QR475, QR550 och QR6560 stämpelklockor.</p><ul><li>Kompatibel med: QR120, QR475, QR550, QR6560</li></ul>",Seiko,Business & Industrial > Time Clock Accessories,Tillbehör,"färgband, qr120, qr475, qr550, qr6560, tillbehör, seiko",TRUE,Titel,Default,1255,200,shopify,30,deny,manual,409,,TRUE,TRUE,,Färgband till QR120 QR475 QR550 QR6560,Färgband till Seiko QR120 QR475 QR550 QR6560 — Original | Ferox Konsult,Köp originalfärgband till Seiko QR120 QR475 QR550 och QR6560. Snabb leverans.,active
